family,delta_entropy_top20,delta_entropy_valid_vocab
adjacent_analysis,0.664286765655327,0.688176481513838
adjacent_transform,0.4929813012884322,0.538491574632706
base_conversion,0.6521352301612731,0.777199384894296
binary_search,0.8117214571999087,1.0300006105612558
bounded_numeric_transform,0.3324491528365593,0.3614471757859792
bubble_sort,0.828674397268669,0.9633091627276293
char_count,0.382119096898897,0.396248470365004
chunking,0.6419226032883066,0.7668977503024094
cumulative_scan,0.6505486545719471,0.7520723809554156
deduplication,0.5576444405346928,0.5666855225189633
diagonal_aggregate,0.8777965676491748,1.0305262149985381
dictionary_transform,0.2955612543624512,0.30492670242084174
digit_aggregate,0.7702651884755058,0.9043652432895501
digit_count,0.7539487801362258,0.8729071475523488
divisors,0.8416266193787325,0.9719779600954467
element_transform,0.36282449671305306,0.3986811447214158
factorial_product,0.8241957167476751,0.936066793957191
fibonacci,0.8540142602895069,1.0395328393145722
first_match_index,0.6363610046561365,0.7312062404482149
flatten_one_level,0.5893136743429688,0.6531899775947836
frequency_map,0.4850973607901238,0.48438960079772075
gcd_family,0.6088282684215875,0.7126072329101139
grouping,0.582482294732004,0.663987691298968
insertion_sort,1.0183758639002831,1.167557893651544
lcm_family,0.5126695134188517,0.6451730275856277
linear_search,0.6183558096895387,0.7479925000746137
matrix_aggregate,0.6753908236245088,0.7178657085719823
matrix_search,0.6081871381650336,0.68320765025775
matrix_transform,0.9129466788857041,1.0977154074521547
membership_test,0.5119555689960056,0.5513146586204658
merge_sorted,0.9110626603509828,1.084818799688081
mode_selection,0.9358832799169559,1.2076057467757169
monotonicity,0.6740253482052327,0.7506634554955476
numeric_reverse,0.731680461254243,0.8711296445562295
ordered_intersection,0.2556801167011138,0.21753455458915627
palindrome_test,0.8764696883927157,1.0196330178234922
parity_count,0.5957298913748471,0.6530943972010694
partition,0.5605295192447824,0.5892712564178983
primality,0.7949242791952924,0.9429122492008487
reverse_sequence,0.621131690894952,0.6872439697688166
rotation,0.7254981522229464,0.8951275107473001
scan_extremum,0.6085669809454629,0.6615664097652363
selection_sort,0.8322871660188553,0.929934070086391
set_relation,0.4030229621006877,0.35654846952407904
sign_filter,0.42871073532799986,0.456582526383121
sign_sum,0.4901296303416106,0.5434456185125893
sliding_window,0.8439577623757879,0.9864031774688359
string_filter,0.3851645284989051,0.4138000595254478
threshold_count,0.34773304370931607,0.3344947075156481
word_count,0.38769973372832506,0.4217686331712571
