family,delta_entropy_top20,delta_entropy_valid_vocab
adjacent_analysis,0.6209365446460009,0.6721636285395978
adjacent_transform,0.49501935438788486,0.5471861557707581
base_conversion,0.6923264705567784,0.8439532075105126
binary_search,0.9659582078269395,1.2392641650217842
bounded_numeric_transform,0.34518023998737535,0.3902827068884209
bubble_sort,0.8429045163103033,0.9760773635986084
char_count,0.4190114870982532,0.47685290565756233
chunking,0.6746531627119056,0.8259778332151648
cumulative_scan,0.6833805715825795,0.8238949309900581
deduplication,0.617663250197268,0.6768129056297546
diagonal_aggregate,0.9610518352907974,1.1615405477626393
dictionary_transform,0.37485061663186114,0.4513067516224788
digit_aggregate,0.685704849227776,0.7898086377822058
digit_count,0.7243573814388096,0.8277879581297239
divisors,0.7625226823375603,0.8525144025248963
element_transform,0.4299322336446798,0.4882552588006698
factorial_product,0.6597579185696946,0.7696768004758475
fibonacci,0.7682687782579377,0.9114279494531353
first_match_index,0.5984385163984183,0.6841396536336006
flatten_one_level,0.581731357532986,0.6761382758935884
frequency_map,0.6000228530321917,0.6890986076546523
gcd_family,0.7069243455449549,0.8741700639564088
grouping,0.6164292317831928,0.7533332078522548
insertion_sort,0.9393948349084551,1.1086626528794026
lcm_family,0.5720385484892407,0.6965539461569017
linear_search,0.719314852592478,0.9202425108676167
matrix_aggregate,0.6420634729900501,0.6930947462559109
matrix_search,0.6939036015033674,0.8227009093606211
matrix_transform,0.9068814209650697,1.1343015347232064
membership_test,0.5717964887475032,0.6574075831734215
merge_sorted,0.9199750848642043,1.0965491564425942
mode_selection,1.0050464610185341,1.326757320204464
monotonicity,0.7907410797020558,0.8904731496980529
numeric_reverse,0.7786918845692234,0.9404006708981191
ordered_intersection,0.2094730202930411,0.1716782533416346
palindrome_test,0.9626678310253509,1.1205895326339375
parity_count,0.5997092259728188,0.6969947273811503
partition,0.5076760075408586,0.5563599484932549
primality,0.831582802667262,0.9869605206491096
reverse_sequence,0.636886814162055,0.7337401621490922
rotation,0.677447564697609,0.9023365448042583
scan_extremum,0.6170311818562889,0.6564718040473497
selection_sort,0.8717991841032018,1.0350450142474648
set_relation,0.46121431400957225,0.498073648591505
sign_filter,0.47028106592851227,0.5461887291232158
sign_sum,0.6139093299100717,0.7251727726615275
sliding_window,0.8641182738267335,0.9935314038197057
string_filter,0.3042390008374508,0.36484786549277987
threshold_count,0.40659083790410194,0.4551563186100595
word_count,0.5596541576873124,0.6350946022169203
