trajectory_id,task_id,family,representation,variant,task_text,reference_solution,alignment_method,boundary_crossed,reference_start_token_index,base_token_count_metadata,token_count,analysis_token_count,trajectory_valid,mean_entropy_top20,median_entropy_top20,std_entropy_top20,cumulative_entropy_top20,mean_entropy_valid_vocab,median_entropy_valid_vocab,std_entropy_valid_vocab,cumulative_entropy_valid_vocab,mean_p1,median_p1,mean_top20_mass,fraction_p1_ge_090,fraction_p1_ge_099,longest_run_p1_ge_090,longest_run_p1_ge_099,mean_abs_entropy_change_top20,mean_abs_entropy_change_valid_vocab,reference_in_top20_fraction,mean_reference_surprisal
binary_search_exact__python__v2,binary_search_exact,binary_search,python,2,"Given an ascending sorted list and a target value, return the target index or minus one if absent.","def binary_search_exact(counter, output):
    value = 0
    item = len(counter) - 1
    while value <= item:
        current = (value + item) // 2
        if counter[current] == output:
            return current
        if counter[current] < output:
            value = current + 1
        else:
            item = current - 1
    return -1",fast_offsets,False,31,31,97,96,True,0.3887063962229149,0.09508678317070007,0.5929946129247963,37.31581403739983,0.47428048489337016,0.09832035377621651,0.8205733032494252,45.530926549763535,0.8774777499493212,0.9844001531600952,0.9871463396896919,0.6875,0.4479166666666667,27,10,0.3729087395483236,0.5141578173568153,0.9583333333333334,0.6852730388719408
partition_by_sign__nl__v2,partition_by_sign,partition,nl,2,"Given a list of numbers, return two lists: negative values first and nonnegative values second, preserving input order within each group.",Build an empty negative list and an empty nonnegative list. Inspect each number and add it to the appropriate list according to its sign. Output both lists.,fast_offsets,False,37,37,32,31,True,0.914438221783888,0.8070275783538818,0.6402229003602214,28.347584875300527,1.0788144838785934,0.8829985857009888,0.7892261678787976,33.44324900023639,0.7199295249677473,0.7507325410842896,0.9794054358236252,0.3225806451612903,0.12903225806451613,4,1,0.7474159671614568,0.8722581616292397,0.9354838709677419,1.4652989277495974
gcd_two__nl__v2,gcd_two,gcd_family,nl,2,"Given two nonnegative integers, compute their greatest common divisor using the Euclidean algorithm.","While the second value is not zero, replace the pair with the second value and the remainder of the first divided by the second. Output the first value when the second becomes zero.",fast_offsets,False,28,28,37,36,True,1.052410890865657,0.8729356825351715,0.8015131588185551,37.886792071163654,1.3160234887359872,1.006206750869751,1.109753927533502,47.376845594495535,0.6681283230168952,0.7583180963993073,0.9604473561048508,0.3333333333333333,0.05555555555555555,4,1,0.7861867849315916,0.9821338983518737,0.9166666666666666,1.3603038320741487
is_subset__python__v3,is_subset,set_relation,python,3,"Given two collections, determine whether every value in the first collection occurs in the second.","def is_subset(element, entry):
    for x in element:
        if x not in entry:
            return False
    return True",fast_offsets,False,27,27,32,31,True,0.5576203939534964,0.186757892370224,0.7092145065665858,17.28623221255839,0.677487438206651,0.18928314745426178,0.9231119558562155,21.002110584406182,0.8257676199559243,0.9592386484146118,0.9828679542387685,0.5806451612903226,0.3548387096774194,13,3,0.4945431689110895,0.6486955898813903,0.9354838709677419,1.0207525149894683
matrix_find_position__nl__v2,matrix_find_position,matrix_search,nl,2,"Given a matrix and a target value, return the row and column of the first occurrence in row-major order, or minus one for both if absent.","Scan rows from top to bottom and columns from left to right. If a value equals the target, output its row and column indices. If no match exists, output minus one for both indices.",fast_offsets,False,41,41,39,38,True,1.040458847131384,1.1139817833900452,0.7377966218271492,39.537436190992594,1.2149037610935538,1.2241418957710266,0.8979446660129161,46.16634292155504,0.6633443279485953,0.6487908661365509,0.9759201532916019,0.2894736842105263,0.13157894736842105,4,3,0.6431629715134969,0.7762256460012616,1.0,0.9931411945864582
fibonacci_nth__python__v3,fibonacci_nth,fibonacci,python,3,"Given a nonnegative integer n with F0 equal to zero and F1 equal to one, return Fn iteratively.","def fibonacci_nth(result):
    entry = 0
    x = 1
    for element in range(result):
        entry, x = x, entry + x
    return entry",fast_offsets,False,35,35,45,44,True,0.6344642513484525,0.2937592566013336,0.705588975603959,27.91642705933191,0.7728811296613209,0.3003138303756714,0.9675900483743936,34.00676970509812,0.7845340181480754,0.9396736323833466,0.9795772473920475,0.5681818181818182,0.2727272727272727,12,4,0.6935288572445685,0.9039196928443257,0.8863636363636364,1.3611778398103938
contains_target__nl__v1,contains_target,membership_test,nl,1,"Given a list of values and a target, determine whether the target occurs in the list.","Examine the values one by one. If the current value equals the target, return true immediately. If the scan finishes without a match, return false.",fast_offsets,False,28,28,33,32,True,0.835427042649826,0.7380621135234833,0.6386770457989124,26.733665364794433,0.9342353564770747,0.7702070474624634,0.7395965606156045,29.89553140726639,0.7336380574852228,0.7889843881130219,0.9880579970777035,0.40625,0.125,6,1,0.5211861948933332,0.6042599462520992,0.96875,1.3330932013225265
invert_unique_map__nl__v2,invert_unique_map,dictionary_transform,nl,2,"Given a dictionary whose values are unique, return a new dictionary mapping each original value to its original key.",Begin with an empty result dictionary. Inspect each key and value in the input and assign the original key under the original value in the result. Output the result.,fast_offsets,False,31,31,33,32,True,0.8673864139127545,0.7847878336906433,0.5916021279391662,27.756365245208144,1.0233010817319155,0.8935815691947937,0.7517019605100115,32.745634615421295,0.7266162782907486,0.7335409820079803,0.9805161729454994,0.3125,0.0625,3,1,0.7859728053933189,0.9594643308270362,0.9375,1.8757006164560153
moving_average_three__nl__v1,moving_average_three,sliding_window,nl,1,"Given a list of numbers, return the average of every consecutive window of three values.","Create an empty result list. For each starting index that leaves three values available, add those three values, divide by three, and append the average. Return the result.",fast_offsets,False,27,27,34,33,True,1.108655260367827,0.8547595739364624,0.6969973078329526,36.58562359213829,1.2479703801147866,0.8952949047088623,0.8430242030773739,41.183022543787956,0.6488507430661808,0.7143264412879944,0.9804043011231856,0.21212121212121213,0.0,1,0,0.7160075851716101,0.8747928095981479,1.0,1.9327449640541365
clamp_values__nl__v1,clamp_values,bounded_numeric_transform,nl,1,"Given a list of numbers and lower and upper bounds, clamp each value into the inclusive interval.","Create an empty result list. Examine each value. Replace values below the lower bound with the lower bound, values above the upper bound with the upper bound, and keep all others unchanged. Return the result.",fast_offsets,False,31,31,44,43,True,0.6884171650420094,0.48855218291282654,0.6235498505507228,29.601938096806407,0.7870746314807167,0.5308994054794312,0.7739292996304131,33.84420915367082,0.789486461600592,0.8767192363739014,0.9867035788159038,0.4883720930232558,0.16279069767441862,9,7,0.543685241779756,0.6550530452680375,0.9767441860465116,1.3805175487988974
