contrast,left_condition,right_condition,family,delta_h20,delta_valid_vocab,delta_semantic_step
C1,procedural_prose,controlled_nl,adjacent_analysis,-0.028938368836061545,-0.09683058807454942,0.0713013151670236
C1,procedural_prose,controlled_nl,adjacent_transform,-0.17504499994553752,-0.3544732023449402,-0.13987698276662042
C1,procedural_prose,controlled_nl,base_conversion,0.0386493184121921,-0.03451182823734389,0.043966786640743494
C1,procedural_prose,controlled_nl,binary_search,0.10139315908882213,0.057297244018406523,0.19652369193011732
C1,procedural_prose,controlled_nl,bounded_numeric_transform,-0.022136548443459747,-0.12935287794421607,-0.025224717724586343
C1,procedural_prose,controlled_nl,bubble_sort,-0.06840468902173819,-0.15424346208624612,-0.05128450107728083
C1,procedural_prose,controlled_nl,char_count,0.02551452986852476,-0.06391106334757202,0.09010040348369669
C1,procedural_prose,controlled_nl,chunking,-0.09142341160640277,-0.2903219580476162,-0.0065500932617023055
C1,procedural_prose,controlled_nl,cumulative_scan,-0.035465782107085064,-0.17551422694799357,-0.08375782541083654
C1,procedural_prose,controlled_nl,deduplication,-0.1542569438613764,-0.3555677091763292,-0.12367825316791514
C1,procedural_prose,controlled_nl,diagonal_aggregate,0.07299317089642082,0.012153999276575345,0.08828260656324705
C1,procedural_prose,controlled_nl,dictionary_transform,-0.12739692228665295,-0.319789960271242,0.02576975349853755
C1,procedural_prose,controlled_nl,digit_aggregate,0.15482565184176866,0.13869112284530988,0.20816807472649196
C1,procedural_prose,controlled_nl,digit_count,0.13795396624677003,0.12155329727494507,0.20115705926559002
C1,procedural_prose,controlled_nl,divisors,0.04799843218452099,0.020934114047332364,0.13380408223469914
C1,procedural_prose,controlled_nl,element_transform,-0.23419595778471836,-0.4381805531538493,-0.17410065325326907
C1,procedural_prose,controlled_nl,factorial_product,0.1441226042165239,0.12442449049925064,0.18675373448189714
C1,procedural_prose,controlled_nl,fibonacci,0.17107467966552165,0.1410683603776377,0.16403128780117449
C1,procedural_prose,controlled_nl,first_match_index,0.027628895834104328,-0.05000803688243777,0.12343536117271797
C1,procedural_prose,controlled_nl,flatten_one_level,-0.08554292435989236,-0.22206670198684408,-0.04173016412965719
C1,procedural_prose,controlled_nl,frequency_map,-0.07896940436335836,-0.2133741229058772,-0.08630284018999235
