contrast,left_condition,right_condition,task_id,family,delta_h20,delta_valid_vocab,delta_semantic_step
C1,procedural_prose,controlled_nl,absolute_values,element_transform,-0.24951054975538267,-0.46049042854239763,-0.19476073088400336
C1,procedural_prose,controlled_nl,adjacent_differences,adjacent_transform,-0.17141550016229157,-0.35273009839110125,-0.15339001841556743
C1,procedural_prose,controlled_nl,adjacent_sums,adjacent_transform,-0.17867449972878346,-0.3562163062987791,-0.1263639471176734
C1,procedural_prose,controlled_nl,anti_diagonal_sum,diagonal_aggregate,0.1091457680815473,0.06476595011463493,0.150189331022755
C1,procedural_prose,controlled_nl,are_disjoint,set_relation,0.03713140128157244,-0.07402083167524753,0.2133977295718743
C1,procedural_prose,controlled_nl,binary_search_exact,binary_search,0.09243942116467829,0.0567447683578155,0.19913152964124825
C1,procedural_prose,controlled_nl,binary_search_insertion,binary_search,0.11034689701296596,0.057849719678997547,0.19391585421898638
C1,procedural_prose,controlled_nl,binary_to_integer,base_conversion,0.12450768081380015,0.1095218756236136,0.11341425741930289
C1,procedural_prose,controlled_nl,bubble_sort_ascending,bubble_sort,-0.06582843261138527,-0.15363139435832684,-0.04993331382992616
C1,procedural_prose,controlled_nl,bubble_sort_descending,bubble_sort,-0.0709809454320911,-0.1548555298141654,-0.0526356883246355
C1,procedural_prose,controlled_nl,chunks_fixed_size,chunking,-0.09300108168614618,-0.3234931490722728,-0.05092255461823059
C1,procedural_prose,controlled_nl,chunks_pairs,chunking,-0.08984574152665936,-0.2571507670229596,0.037822368094825976
C1,procedural_prose,controlled_nl,clamp_values,bounded_numeric_transform,0.037230012942343516,-0.04850917609693528,0.04424597708081823
C1,procedural_prose,controlled_nl,contains_target,membership_test,0.06019826066960832,-0.016161741741140823,0.27057571668462754
C1,procedural_prose,controlled_nl,contains_zero,membership_test,0.07119877892162818,0.05964729051160189,0.20062018593840392
C1,procedural_prose,controlled_nl,count_above,threshold_count,-0.021372456001779283,-0.14440933679583257,0.0618274702236391
C1,procedural_prose,controlled_nl,count_below,threshold_count,-0.022086851823485243,-0.14541893334606493,0.07646605283680952
C1,procedural_prose,controlled_nl,count_character,char_count,-0.021618101319020866,-0.12844000690848323,0.055933795979316914
C1,procedural_prose,controlled_nl,count_digits,digit_count,0.1434836788981949,0.10967614784268309,0.21342092583875927
C1,procedural_prose,controlled_nl,count_divisors,divisors,0.05477565388673433,0.043492974299758735,0.19786443064385795
C1,procedural_prose,controlled_nl,count_equal_neighbors,adjacent_analysis,-0.018960556225751768,-0.07917496667661028,0.07127800287346642
C1,procedural_prose,controlled_nl,count_even,parity_count,0.03833264296550154,-0.022465680665299637,0.1254630207736196
C1,procedural_prose,controlled_nl,count_even_digits,digit_count,0.13242425359534515,0.13343044670720705,0.18889319269242077
C1,procedural_prose,controlled_nl,count_increases,adjacent_analysis,-0.03891618144637132,-0.11448620947248855,0.07132462746058077
C1,procedural_prose,controlled_nl,count_odd,parity_count,-0.008581162866132752,-0.0807844292524319,0.07763373518410221
C1,procedural_prose,controlled_nl,count_primes_up_to,primality,0.07980309643571737,0.06668321343509787,0.1570072210602118
C1,procedural_prose,controlled_nl,count_unique_words,word_count,-0.2369585512348411,-0.527577058844064,-0.29858714745431714
C1,procedural_prose,controlled_nl,count_vowels,char_count,0.07264716105607039,0.0006178802133391947,0.12426701098807647
C1,procedural_prose,controlled_nl,count_words,word_count,-0.11413334581946977,-0.32743240581906363,-0.13698387674632562
C1,procedural_prose,controlled_nl,dedupe_first,deduplication,-0.1984117712587874,-0.41898425033260733,-0.16562718430112766
C1,procedural_prose,controlled_nl,dedupe_last,deduplication,-0.1101021164639654,-0.29215116802005103,-0.08172932203470262
C1,procedural_prose,controlled_nl,digit_product,digit_aggregate,0.1243911042508572,0.10037966208795313,0.19791331003220014
C1,procedural_prose,controlled_nl,digit_sum,digit_aggregate,0.18526019943268013,0.17700258360266663,0.21842283942078378
C1,procedural_prose,controlled_nl,factorial_iterative,factorial_product,0.16505101564670877,0.14194610442517952,0.18990617023287404
C1,procedural_prose,controlled_nl,fibonacci_first_n,fibonacci,0.10508517339355428,0.046565495576139204,0.11544337593285103
C1,procedural_prose,controlled_nl,fibonacci_nth,fibonacci,0.237064185937489,0.2355712251791362,0.21261919966949794
C1,procedural_prose,controlled_nl,filter_mapping_by_value,dictionary_transform,-0.17389119640357187,-0.3941761501583302,0.00806796686133271
C1,procedural_prose,controlled_nl,filter_negative,sign_filter,-0.12894565270752212,-0.27700986389350923,-0.06912275567109571
C1,procedural_prose,controlled_nl,filter_nonnegative,sign_filter,-0.15617206724201338,-0.31766133560308407,-0.06715525224510965
C1,procedural_prose,controlled_nl,first_even_index,first_match_index,0.009742269214668364,-0.06510905403003997,0.09792930116772103
C1,procedural_prose,controlled_nl,first_negative_index,first_match_index,0.04551552245354029,-0.034907019734835565,0.14894142117771492
C1,procedural_prose,controlled_nl,flatten_lists,flatten_one_level,-0.0803688874923455,-0.22852761903015595,-0.041262409592875304
C1,procedural_prose,controlled_nl,flatten_pairs,flatten_one_level,-0.09071696122743922,-0.21560578494353222,-0.04219791866643907
C1,procedural_prose,controlled_nl,frequency_map_chars,frequency_map,-0.07460570268372624,-0.1912565708092947,-0.08990198077404388
C1,procedural_prose,controlled_nl,frequency_map_items,frequency_map,-0.08333310604299049,-0.2354916750024597,-0.08270369960594082
C1,procedural_prose,controlled_nl,gcd_list,gcd_family,0.05759317251312568,0.016748250902932416,0.083634410744718
C1,procedural_prose,controlled_nl,gcd_two,gcd_family,0.10569293445571215,0.1333595254180382,0.07589683708420358
C1,procedural_prose,controlled_nl,group_by_first_character,grouping,-0.1027541813424494,-0.24577781955723632,-0.13278498610014833
C1,procedural_prose,controlled_nl,group_by_length,grouping,-0.06755819979470723,-0.22433638247086096,-0.11900373332866265
C1,procedural_prose,controlled_nl,insertion_sort_ascending,insertion_sort,-0.005820479949612323,-0.06473420230868909,0.00977836396813414
C1,procedural_prose,controlled_nl,insertion_sort_descending,insertion_sort,-0.01687399651582777,-0.0802998053675843,0.001610102821424042
C1,procedural_prose,controlled_nl,integer_to_binary,base_conversion,-0.047209043989415944,-0.17854553209830137,-0.0254806841378159
C1,procedural_prose,controlled_nl,invert_unique_map,dictionary_transform,-0.08090264816973403,-0.24540377038415384,0.04347154013574239
C1,procedural_prose,controlled_nl,is_nondecreasing,monotonicity,0.03886857882732231,0.023276310438226755,0.08701069892207725
C1,procedural_prose,controlled_nl,is_prime,primality,0.04300783032347577,0.04410034332921642,0.09249419098452805
C1,procedural_prose,controlled_nl,is_strictly_increasing,monotonicity,0.08097105625302403,0.060609520213824486,0.14522456531047478
C1,procedural_prose,controlled_nl,is_subset,set_relation,-0.04471539543058478,-0.17268330672983367,0.10182227142393496
C1,procedural_prose,controlled_nl,keep_letters,string_filter,-0.17773109812243704,-0.32331721705067107,-0.05371655299166278
C1,procedural_prose,controlled_nl,lcm_list,lcm_family,0.060681525055144014,0.023814593735327128,0.11253499954508872
C1,procedural_prose,controlled_nl,lcm_two,lcm_family,0.0741545541106412,0.04688184259812056,0.084149941148703
C1,procedural_prose,controlled_nl,least_frequent,mode_selection,0.0039558798699577125,-0.08742910620239275,-0.03473075823887506
