contrast,left_condition,right_condition,family,delta_h20,delta_valid_vocab,delta_semantic_step
C1,procedural_prose,controlled_nl,adjacent_analysis,0.04827220667381177,0.03470741268340305,0.17570138976184146
C1,procedural_prose,controlled_nl,adjacent_transform,0.08391492891876151,0.07452748968495987,0.14028012365455705
C1,procedural_prose,controlled_nl,base_conversion,0.04497934858084984,0.017654792766402527,0.12851726711602196
C1,procedural_prose,controlled_nl,binary_search,0.08072969425874543,0.08315811997193334,0.20055806636133666
C1,procedural_prose,controlled_nl,bounded_numeric_transform,0.03684327617061989,0.02431041768087544,0.0005948184014366587
C1,procedural_prose,controlled_nl,bubble_sort,0.07419744196542974,0.07440547849193402,0.14345077921736504
C1,procedural_prose,controlled_nl,char_count,0.10267757895868795,0.10676153760093254,0.2561393374086941
C1,procedural_prose,controlled_nl,chunking,0.03526221503582666,-0.020009722620219383,0.01953399326435573
C1,procedural_prose,controlled_nl,cumulative_scan,-0.08965862558994081,-0.14084378900281053,-0.10848149381826905
C1,procedural_prose,controlled_nl,deduplication,-0.07733549624486857,-0.11964209354215016,-0.01776792222752105
C1,procedural_prose,controlled_nl,diagonal_aggregate,0.11798521325427858,0.12883442560865127,0.14967291390408677
C1,procedural_prose,controlled_nl,dictionary_transform,-0.023005661139326394,-0.07360007177346573,0.1317523662801059
C1,procedural_prose,controlled_nl,digit_aggregate,0.10386432106754073,0.10074874460028849,0.15271228083189428
C1,procedural_prose,controlled_nl,digit_count,0.04575662587746157,0.027586859693592425,0.1461973252493278
C1,procedural_prose,controlled_nl,divisors,0.0852333179170573,0.07879113841246199,0.17749078438531507
C1,procedural_prose,controlled_nl,element_transform,0.07108771646381451,0.06562072481628217,0.09091003621596394
C1,procedural_prose,controlled_nl,factorial_product,0.18437559049289187,0.1922693206434421,0.14551038500736468
C1,procedural_prose,controlled_nl,fibonacci,0.13027440932920104,0.14720996133094244,0.12565203225792704
C1,procedural_prose,controlled_nl,first_match_index,0.08428946281088256,0.08621927726764095,0.23015456711029808
C1,procedural_prose,controlled_nl,flatten_one_level,-0.004279551193884179,-0.02138161025258839,0.07179824036211307
C1,procedural_prose,controlled_nl,frequency_map,0.0015451007081859758,-0.025323225976716046,0.1552255579027444
C1,procedural_prose,controlled_nl,gcd_family,0.15914013017813683,0.1807961960586173,0.20462473193330805
C1,procedural_prose,controlled_nl,grouping,0.010515596388725956,-0.014204544980744915,0.11269303942441683
C1,procedural_prose,controlled_nl,insertion_sort,0.06933752183616557,0.07981146552995205,0.14186346924002513
C1,procedural_prose,controlled_nl,lcm_family,0.06922582741674244,0.051889066729954025,0.09798285255525707
C1,procedural_prose,controlled_nl,linear_search,0.10864648292967904,0.09820057327969073,0.2809719887418871
C1,procedural_prose,controlled_nl,matrix_aggregate,-0.07675269776476573,-0.1405765011788218,-0.053024584042654865
C1,procedural_prose,controlled_nl,matrix_search,0.16628325778550918,0.17679270178742917,0.23133934059087247
C1,procedural_prose,controlled_nl,matrix_transform,0.07476290566466104,0.06712007442300377,0.09550169002834186
C1,procedural_prose,controlled_nl,membership_test,0.11779713577991918,0.15130554131275809,0.27207480515400145
C1,procedural_prose,controlled_nl,merge_sorted,0.0283594825329212,0.024199471283379848,0.046812496466314524
C1,procedural_prose,controlled_nl,mode_selection,-0.018250252261668598,-0.05004967688177947,0.048764523784673774
C1,procedural_prose,controlled_nl,monotonicity,0.12256919354151488,0.15485639662142237,0.1842999561640592
C1,procedural_prose,controlled_nl,numeric_reverse,0.12403999189390355,0.13838765109593193,0.19053915756186007
C1,procedural_prose,controlled_nl,ordered_intersection,-0.19341555044424474,-0.30113060087200005,-0.19754687100522883
C1,procedural_prose,controlled_nl,palindrome_test,-0.07060393399860426,-0.09684950232884942,-0.03213058931943796
C1,procedural_prose,controlled_nl,parity_count,0.0419438103533008,0.031132672893507463,0.15034016876998457
C1,procedural_prose,controlled_nl,partition,0.0020889016801508564,-0.03156992375611928,0.07500956559470234
C1,procedural_prose,controlled_nl,primality,0.052224913074325,0.05493884901237081,0.13620743729950602
C1,procedural_prose,controlled_nl,reverse_sequence,0.03438826043651577,0.01913164336646972,0.1575764957494245
C1,procedural_prose,controlled_nl,rotation,0.011485988474236597,-0.016519086523832827,0.04586291365969869
C1,procedural_prose,controlled_nl,scan_extremum,0.13171126558602336,0.139831233225723,0.2864971939134408
C1,procedural_prose,controlled_nl,selection_sort,0.06445726225608975,0.05648089085331959,0.09113334620755614
C1,procedural_prose,controlled_nl,set_relation,0.0219374674043189,0.011649109366463017,0.1629038886135032
C1,procedural_prose,controlled_nl,sign_filter,0.0365564128190613,0.019855426079902927,0.10181329468940958
C1,procedural_prose,controlled_nl,sign_sum,0.051257723750469164,0.044083831490973946,0.16216964661934258
C1,procedural_prose,controlled_nl,sliding_window,-0.017978531992568603,-0.05524086870036887,-0.043402264092365694
C1,procedural_prose,controlled_nl,string_filter,-0.08801170837618966,-0.12076567182967207,0.11377688627307914
C1,procedural_prose,controlled_nl,threshold_count,0.02444580035432864,-0.004299632686142862,0.1909564925585585
C1,procedural_prose,controlled_nl,word_count,-0.06980663730575076,-0.130745389900903,0.0014700711400097988
C2,controlled_nl,pseudocode,adjacent_analysis,0.05366245117597551,0.06950842021419751,0.054130432554880814
C2,controlled_nl,pseudocode,adjacent_transform,0.06585949991262258,0.10166824440406252,0.06538153050760875
C2,controlled_nl,pseudocode,base_conversion,0.04394158829992384,0.0723560689224732,0.04287405811143841
C2,controlled_nl,pseudocode,binary_search,0.010795293364358971,0.005519475729795331,0.0158637912119986
C2,controlled_nl,pseudocode,bounded_numeric_transform,0.020128649811594068,0.02918280576657095,-0.08445987172267616
C2,controlled_nl,pseudocode,bubble_sort,0.0498660640162322,0.07788207247755771,0.03793770783226613
C2,controlled_nl,pseudocode,char_count,-0.013840450803857096,-0.01295730569393544,0.0047584793895564526
C2,controlled_nl,pseudocode,chunking,0.06954442531863769,0.12096548769188098,0.02563349200229187
C2,controlled_nl,pseudocode,cumulative_scan,0.14308468990723416,0.19260864485079376,0.11168661682684439
C2,controlled_nl,pseudocode,deduplication,0.12459110193699185,0.19311219397925616,0.11303959688098103
C2,controlled_nl,pseudocode,diagonal_aggregate,0.10376041462827157,0.1320185208896315,0.029170198686339188
C2,controlled_nl,pseudocode,dictionary_transform,0.005844363419624132,0.032618182840264576,-0.023006520414535103
C2,controlled_nl,pseudocode,digit_aggregate,0.021667789910534474,0.02598997355129601,0.04402440747255512
C2,controlled_nl,pseudocode,digit_count,0.05831431965060288,0.08007288646830768,0.08257145465414809
C2,controlled_nl,pseudocode,divisors,0.04160329621733899,0.05529777775249556,0.033590918972969036
C2,controlled_nl,pseudocode,element_transform,0.0374562498685444,0.07237617663150298,0.013685649982653647
C2,controlled_nl,pseudocode,factorial_product,0.04747445836564329,0.05478003217708216,0.1474400040569936
C2,controlled_nl,pseudocode,fibonacci,0.035455692070285205,0.037700270578884365,-0.039417688711865184
C2,controlled_nl,pseudocode,first_match_index,-0.0052619471705420695,0.008161633075848551,-0.08462749326919086
C2,controlled_nl,pseudocode,flatten_one_level,0.028028448839960807,0.04596064432717534,-0.029376762736402884
C2,controlled_nl,pseudocode,frequency_map,0.10352897748841988,0.12761769793795336,0.06662043456672884
C2,controlled_nl,pseudocode,gcd_family,-0.03858613636043473,-0.04488948328038428,-0.04003499884941514
C2,controlled_nl,pseudocode,grouping,0.018703742614756214,0.02811822294152061,-0.019066450104295307
C2,controlled_nl,pseudocode,insertion_sort,0.024648161507441008,0.03976101726807321,0.031061831934327794
C2,controlled_nl,pseudocode,lcm_family,-0.04262127353189815,-0.04908729680155621,-0.11293353653026472
C2,controlled_nl,pseudocode,linear_search,-0.07074205562117214,-0.055726746141355366,-0.055122229271065915
C2,controlled_nl,pseudocode,matrix_aggregate,0.10256933938337909,0.1522990370649926,0.038736313798231725
C2,controlled_nl,pseudocode,matrix_search,-0.07681118696506789,-0.06388429106964572,-0.12521239337006101
C2,controlled_nl,pseudocode,matrix_transform,0.03503788245568218,0.05532625869256719,-0.033947162105652906
C2,controlled_nl,pseudocode,membership_test,0.04562820739421658,0.06886628699712916,-0.002299104114167394
C2,controlled_nl,pseudocode,merge_sorted,0.06679603707441376,0.08375684150749738,0.1086177491876886
C2,controlled_nl,pseudocode,mode_selection,-0.007985508898698646,0.014347914840623421,-0.09593900510304165
C2,controlled_nl,pseudocode,monotonicity,0.044478155510402795,0.06730911608734552,-0.022049596934243187
C2,controlled_nl,pseudocode,numeric_reverse,0.013084061315126183,0.020180163442068466,0.03844471691181772
C2,controlled_nl,pseudocode,ordered_intersection,0.09023242252305091,0.1334579737181666,0.01328958210948844
C2,controlled_nl,pseudocode,palindrome_test,0.0008188885768868337,-0.009403390178173876,0.029331685116162687
C2,controlled_nl,pseudocode,parity_count,0.055874496288106035,0.06721793592562486,0.05909132969538222
C2,controlled_nl,pseudocode,partition,0.02022178070618369,0.032147654787705926,-0.09632763682186812
C2,controlled_nl,pseudocode,primality,0.0450103993718895,0.0526910299222611,0.07242910962102081
C2,controlled_nl,pseudocode,reverse_sequence,0.1296923550904021,0.17312852729530726,0.08616698090493363
C2,controlled_nl,pseudocode,rotation,0.07917300012395151,0.13347748503855783,0.06972684857760197
C2,controlled_nl,pseudocode,scan_extremum,-0.031924752544935875,-0.027376331862818182,-0.04333062806582455
C2,controlled_nl,pseudocode,selection_sort,0.019419335630994378,0.04551731100119272,0.029095496211278216
C2,controlled_nl,pseudocode,set_relation,-0.04330097840440883,-0.01857451651138997,-0.0807979707529336
C2,controlled_nl,pseudocode,sign_filter,0.091918107340215,0.13016851591021966,0.06483592895470147
C2,controlled_nl,pseudocode,sign_sum,0.13856796619403253,0.16470948057696927,0.16669323127435656
C2,controlled_nl,pseudocode,sliding_window,0.08541831976331005,0.11286324245731594,0.04101371410880439
C2,controlled_nl,pseudocode,string_filter,0.09894922761247427,0.12379971502462234,0.0676989109505739
C2,controlled_nl,pseudocode,threshold_count,0.05937252423160011,0.08102424380025403,0.03609490549774513
C2,controlled_nl,pseudocode,word_count,0.08749348820617031,0.13633895082591857,0.006577041515712201
C3,pseudocode,python_canonical,adjacent_analysis,0.2695988622990323,0.31199033284123795,0.18786253645394366
C3,pseudocode,python_canonical,adjacent_transform,0.28019892014170167,0.3379474888035977,0.01686157444893205
C3,pseudocode,python_canonical,base_conversion,0.3002544448998059,0.37288301564203064,0.1507833778136668
C3,pseudocode,python_canonical,binary_search,0.18812714729590882,0.2556123567050612,0.10282590152001037
C3,pseudocode,python_canonical,bounded_numeric_transform,0.24899928050653056,0.3305973381837957,0.1644074380611592
C3,pseudocode,python_canonical,bubble_sort,0.20632333591139718,0.24042916207763887,0.2182262593352727
C3,pseudocode,python_canonical,char_count,0.30926389017019207,0.37366501306025146,0.20338837964801368
C3,pseudocode,python_canonical,chunking,0.3113048917924533,0.38477855128467664,0.046451703529477195
C3,pseudocode,python_canonical,cumulative_scan,0.36072315263901106,0.4588263189459997,0.23452922649598879
C3,pseudocode,python_canonical,deduplication,0.3299409900054028,0.3854795480825123,0.07275236482551617
C3,pseudocode,python_canonical,diagonal_aggregate,0.22573108242806197,0.269001667412502,0.16235794707769893
C3,pseudocode,python_canonical,dictionary_transform,0.36031525132436937,0.4526729211560536,0.08374829522404337
C3,pseudocode,python_canonical,digit_aggregate,0.21928324936043614,0.27537733036585993,0.0390528670318136
C3,pseudocode,python_canonical,digit_count,0.18941753638210226,0.23087729820023908,0.028226637133083238
C3,pseudocode,python_canonical,divisors,0.2936070558357341,0.334150123166715,0.1623795043990564
C3,pseudocode,python_canonical,element_transform,0.3978743002695144,0.4690785198624816,0.1403031464178638
C3,pseudocode,python_canonical,factorial_product,0.23106467783195622,0.2672799760984711,0.09699340967847667
C3,pseudocode,python_canonical,fibonacci,0.18033486421983533,0.224749643443282,0.09446856357009087
