contrast,left_condition,right_condition,task_id,family,delta_h20,delta_valid_vocab,delta_semantic_step
C1,procedural_prose,controlled_nl,absolute_values,element_transform,0.05382762401240426,0.04251576966204107,0.07624829891780216
C1,procedural_prose,controlled_nl,adjacent_differences,adjacent_transform,0.074997969476156,0.06292315531726256,0.12804134009447266
C1,procedural_prose,controlled_nl,adjacent_sums,adjacent_transform,0.09283188836136702,0.08613182405265718,0.15251890721464145
C1,procedural_prose,controlled_nl,anti_diagonal_sum,diagonal_aggregate,0.11662865706436165,0.1287514318745856,0.15875382091544465
C1,procedural_prose,controlled_nl,are_disjoint,set_relation,0.0402705521296971,0.03405349656447143,0.16583861317360848
C1,procedural_prose,controlled_nl,binary_search_exact,binary_search,0.08887626253586511,0.09857856345585425,0.18758778202211757
C1,procedural_prose,controlled_nl,binary_search_insertion,binary_search,0.07258312598162575,0.06773767648801243,0.21352835070055576
C1,procedural_prose,controlled_nl,binary_to_integer,base_conversion,0.09305523084689549,0.10162932550408288,0.13635335452103936
C1,procedural_prose,controlled_nl,bubble_sort_ascending,bubble_sort,0.06508749270744346,0.0646578532511195,0.12778727677176893
C1,procedural_prose,controlled_nl,bubble_sort_descending,bubble_sort,0.08330739122341602,0.08415310373274854,0.15911428166296115
C1,procedural_prose,controlled_nl,chunks_fixed_size,chunking,0.03396810490102742,-0.0428915812123587,-0.01911346251863677
C1,procedural_prose,controlled_nl,chunks_pairs,chunking,0.0365563251706259,0.0028721359719199313,0.05818144904734823
C1,procedural_prose,controlled_nl,clamp_values,bounded_numeric_transform,0.015570366613856357,-0.019031484040009095,-0.03095924034101427
C1,procedural_prose,controlled_nl,contains_target,membership_test,0.10714346943470976,0.12153691360343655,0.2882867353563947
C1,procedural_prose,controlled_nl,contains_zero,membership_test,0.1284508021251286,0.18107416902207962,0.2558628749516082
C1,procedural_prose,controlled_nl,count_above,threshold_count,0.026216266565389557,-0.002188534336613035,0.1925409283603412
C1,procedural_prose,controlled_nl,count_below,threshold_count,0.022675334143267722,-0.00641073103567269,0.18937205675677582
C1,procedural_prose,controlled_nl,count_character,char_count,0.07726296188892545,0.06527536783552224,0.2509413033092639
C1,procedural_prose,controlled_nl,count_digits,digit_count,0.01664457009474052,-0.010696872379957534,0.14000958605306602
C1,procedural_prose,controlled_nl,count_divisors,divisors,0.12874510713611143,0.13409620412310375,0.20695697837977955
C1,procedural_prose,controlled_nl,count_equal_neighbors,adjacent_analysis,0.049996614489452584,0.03835717187116616,0.16152066522766217
C1,procedural_prose,controlled_nl,count_even,parity_count,0.05014336558145449,0.03760019282172267,0.1522614898045469
C1,procedural_prose,controlled_nl,count_even_digits,digit_count,0.07486868166018262,0.06587059176714238,0.15238506444558958
C1,procedural_prose,controlled_nl,count_increases,adjacent_analysis,0.04654779885817095,0.031057653495639936,0.18988211429602075
C1,procedural_prose,controlled_nl,count_odd,parity_count,0.033744255125147116,0.02466515296529226,0.14841884773542224
C1,procedural_prose,controlled_nl,count_primes_up_to,primality,0.05130249648612517,0.045072158390066175,0.13626762745595722
C1,procedural_prose,controlled_nl,count_unique_words,word_count,-0.07465425238688339,-0.13664411681965394,-0.02844862444067575
C1,procedural_prose,controlled_nl,count_vowels,char_count,0.12809219602845046,0.14824770736634285,0.26133737150812425
C1,procedural_prose,controlled_nl,count_words,word_count,-0.06495902222461813,-0.12484666298215208,0.03138876672069535
C1,procedural_prose,controlled_nl,dedupe_first,deduplication,-0.09217651593225784,-0.1344822262763704,-0.0008763741983434103
C1,procedural_prose,controlled_nl,dedupe_last,deduplication,-0.062494476557479306,-0.10480196080792992,-0.03465947025669869
C1,procedural_prose,controlled_nl,digit_product,digit_aggregate,0.0644845943278507,0.05274871615722421,0.09911276490731602
C1,procedural_prose,controlled_nl,digit_sum,digit_aggregate,0.14324404780723077,0.14874877304335277,0.20631179675647254
C1,procedural_prose,controlled_nl,factorial_iterative,factorial_product,0.2347103918081923,0.25447066452630307,0.19530929836968725
C1,procedural_prose,controlled_nl,fibonacci_first_n,fibonacci,0.059441756055682804,0.03941653587174632,0.06975869870898765
C1,procedural_prose,controlled_nl,fibonacci_nth,fibonacci,0.20110706260271927,0.25500338679013856,0.18154536580686642
C1,procedural_prose,controlled_nl,filter_mapping_by_value,dictionary_transform,-0.04442859091425211,-0.10382035995055128,0.11597004731121563
C1,procedural_prose,controlled_nl,filter_negative,sign_filter,0.03544006177322068,0.017849964832798326,0.09272433297153737
C1,procedural_prose,controlled_nl,filter_nonnegative,sign_filter,0.037672763864901926,0.021860887327007528,0.1109022564072818
C1,procedural_prose,controlled_nl,first_even_index,first_match_index,0.09690138589874331,0.10232686201050512,0.22897574878226074
C1,procedural_prose,controlled_nl,first_negative_index,first_match_index,0.07167753972302182,0.07011169252477678,0.23133338543833543
C1,procedural_prose,controlled_nl,flatten_lists,flatten_one_level,-0.03671322349350625,-0.05476619034449215,0.057619357486910605
C1,procedural_prose,controlled_nl,flatten_pairs,flatten_one_level,0.028154121105737895,0.01200296983931537,0.08597712323731554
C1,procedural_prose,controlled_nl,frequency_map_chars,frequency_map,0.009646484966904012,-0.005330336106269873,0.16731960626422937
C1,procedural_prose,controlled_nl,frequency_map_items,frequency_map,-0.0065562835505320605,-0.04531611584716222,0.14313150954125942
C1,procedural_prose,controlled_nl,gcd_list,gcd_family,0.1387913847753418,0.15710327493168852,0.19808441636231622
C1,procedural_prose,controlled_nl,gcd_two,gcd_family,0.17948887558093185,0.20448911718554608,0.21116504750429987
C1,procedural_prose,controlled_nl,group_by_first_character,grouping,0.026154163514423345,0.002422584025218999,0.13552114042333152
C1,procedural_prose,controlled_nl,group_by_length,grouping,-0.005122970736971433,-0.03083167398670883,0.08986493842550214
C1,procedural_prose,controlled_nl,insertion_sort_ascending,insertion_sort,0.06982660967475407,0.08050747032485706,0.142512725898849
C1,procedural_prose,controlled_nl,insertion_sort_descending,insertion_sort,0.06884843399757706,0.07911546073504705,0.14121421258120126
C1,procedural_prose,controlled_nl,integer_to_binary,base_conversion,-0.0030965336851958014,-0.06631973997127782,0.12068117971100456
C1,procedural_prose,controlled_nl,invert_unique_map,dictionary_transform,-0.0015827313644006802,-0.04337978359638017,0.14753468524899616
C1,procedural_prose,controlled_nl,is_nondecreasing,monotonicity,0.12410699275156034,0.1620503665172467,0.19579091865684523
C1,procedural_prose,controlled_nl,is_prime,primality,0.053147329662524834,0.06480553963467545,0.13614724714305482
C1,procedural_prose,controlled_nl,is_strictly_increasing,monotonicity,0.12103139433146942,0.14766242672559804,0.17280899367127317
C1,procedural_prose,controlled_nl,is_subset,set_relation,0.0036043826789406985,-0.010755277831545396,0.1599691640533979
C1,procedural_prose,controlled_nl,keep_letters,string_filter,-0.14913232413563948,-0.1934838961686094,0.06352047729870569
C1,procedural_prose,controlled_nl,lcm_list,lcm_family,0.06628445300435681,0.06550516949547014,0.10698390329022
C1,procedural_prose,controlled_nl,lcm_two,lcm_family,0.07216720182912806,0.03827296396443791,0.08898180182029414
