contrast,left_condition,right_condition,family,delta_h20,delta_valid_vocab,delta_semantic_step
C1,procedural_prose,controlled_nl,adjacent_analysis,0.19380495262101113,0.21857515444976602,0.24745878607973334
C1,procedural_prose,controlled_nl,adjacent_transform,0.11411465865929094,0.1320350704023733,0.15705534723776163
C1,procedural_prose,controlled_nl,base_conversion,0.10087220771374558,0.10178316473777804,0.14771085253011648
C1,procedural_prose,controlled_nl,binary_search,0.14819798812863177,0.1651446346969324,0.23686606336140936
C1,procedural_prose,controlled_nl,bounded_numeric_transform,0.05510857351753201,0.07209427728789469,0.1177400633511897
C1,procedural_prose,controlled_nl,bubble_sort,0.13533764189235953,0.16464703127898092,0.1962618115797968
C1,procedural_prose,controlled_nl,char_count,-0.001073114625804894,0.0063352370349587794,0.07550555600518208
C1,procedural_prose,controlled_nl,chunking,0.0577559748736986,0.04751195184152207,0.11960992040089774
C1,procedural_prose,controlled_nl,cumulative_scan,0.06980978305084573,0.09144902816434708,0.009973804748349469
C1,procedural_prose,controlled_nl,deduplication,-0.028583597391487914,-0.02925366917255859,0.05166976630960704
C1,procedural_prose,controlled_nl,diagonal_aggregate,0.2186957101492304,0.2541026365722289,0.24045393980752622
C1,procedural_prose,controlled_nl,dictionary_transform,0.07853595359138513,0.10741249511814394,0.2296130172050868
C1,procedural_prose,controlled_nl,digit_aggregate,0.1465562965417288,0.15142365539304148,0.13542158960099188
C1,procedural_prose,controlled_nl,digit_count,0.08705873387022703,0.09521140285336366,0.10148628618374463
C1,procedural_prose,controlled_nl,divisors,0.05732475544433435,0.0527987401450119,0.13115660001339807
C1,procedural_prose,controlled_nl,element_transform,0.019578934476074727,0.04564749588236411,0.09161877743629204
C1,procedural_prose,controlled_nl,factorial_product,0.08172415859405935,0.09880863613101143,0.04703659204544436
C1,procedural_prose,controlled_nl,fibonacci,0.25886515166650403,0.2847897958462866,0.26546385777693987
C1,procedural_prose,controlled_nl,first_match_index,0.17524253287346703,0.19414538004033685,0.25881482996782357
C1,procedural_prose,controlled_nl,flatten_one_level,-0.021704769758573772,-0.015019542558490168,0.05591342915429409
C1,procedural_prose,controlled_nl,frequency_map,0.0465166898698578,0.059314973233950796,0.1045333390968769
C1,procedural_prose,controlled_nl,gcd_family,0.20549852954208683,0.23830650027765304,0.19967113391498384
C1,procedural_prose,controlled_nl,grouping,0.11197739095256987,0.14184662245105553,0.16876638980430494
C1,procedural_prose,controlled_nl,insertion_sort,0.12980363498296793,0.14397135613685919,0.16088238404193342
C1,procedural_prose,controlled_nl,lcm_family,0.19776686081505698,0.2307783566021876,0.19509950116409827
C1,procedural_prose,controlled_nl,linear_search,0.16771402594717377,0.19116133872332824,0.23425384590318987
C1,procedural_prose,controlled_nl,matrix_aggregate,0.009714712426094396,0.023867100581008688,0.03469735885647213
C1,procedural_prose,controlled_nl,matrix_search,0.11255084393376302,0.12850587851907203,0.1193325247223539
C1,procedural_prose,controlled_nl,matrix_transform,0.03700796881637111,0.042518317878723955,0.09658777073213945
C1,procedural_prose,controlled_nl,membership_test,0.1817153714490378,0.2033951824715992,0.20274785430358438
C1,procedural_prose,controlled_nl,merge_sorted,0.07181663283970668,0.08197242275244898,0.12618418171405482
