contrast,left_condition,right_condition,task_id,family,delta_h20,delta_valid_vocab,delta_semantic_step
C1,procedural_prose,controlled_nl,absolute_values,element_transform,0.02961811901534739,0.0481712094373391,0.11352071722146828
C1,procedural_prose,controlled_nl,adjacent_differences,adjacent_transform,0.08005559600284379,0.09109410654816164,0.07687121673103614
C1,procedural_prose,controlled_nl,adjacent_sums,adjacent_transform,0.14817372131573808,0.17297603425658498,0.23723947774448712
C1,procedural_prose,controlled_nl,anti_diagonal_sum,diagonal_aggregate,0.3038348201982651,0.3526415785663482,0.3736187658090832
C1,procedural_prose,controlled_nl,are_disjoint,set_relation,0.13087877922976687,0.12360556539889866,0.2180055517615045
C1,procedural_prose,controlled_nl,binary_search_exact,binary_search,0.12592583545106928,0.13616353047425656,0.2267680835342099
C1,procedural_prose,controlled_nl,binary_search_insertion,binary_search,0.17047014080619427,0.19412573891960827,0.24696404318860882
C1,procedural_prose,controlled_nl,binary_to_integer,base_conversion,0.12090385710156737,0.14146793305165628,0.020880491679141522
C1,procedural_prose,controlled_nl,bubble_sort_ascending,bubble_sort,0.13334741437028041,0.1617171660509808,0.19194665193479543
C1,procedural_prose,controlled_nl,bubble_sort_descending,bubble_sort,0.13732786941443864,0.16757689650698104,0.20057697122479817
C1,procedural_prose,controlled_nl,chunks_fixed_size,chunking,0.03743588180610602,0.004904372809019009,0.09365614094794683
C1,procedural_prose,controlled_nl,chunks_pairs,chunking,0.07807606794129118,0.09011953087402513,0.14556369985384865
C1,procedural_prose,controlled_nl,clamp_values,bounded_numeric_transform,0.007247926043251529,-0.0018258123748380317,0.1050470246048043
C1,procedural_prose,controlled_nl,contains_target,membership_test,0.16935772182787895,0.18017170773903252,0.20577257306546043
C1,procedural_prose,controlled_nl,contains_zero,membership_test,0.19407302107019664,0.2266186572041659,0.19972313554170834
C1,procedural_prose,controlled_nl,count_above,threshold_count,0.08488091563259459,0.09582060048289964,0.11559736354207006
C1,procedural_prose,controlled_nl,count_below,threshold_count,0.06853151275883484,0.08011504142860415,0.1112742036676278
C1,procedural_prose,controlled_nl,count_character,char_count,-0.028551020305196184,-0.020116573481224753,0.04506990619379947
C1,procedural_prose,controlled_nl,count_digits,digit_count,0.038832410168237186,0.04559243110820593,-0.02917390777377199
C1,procedural_prose,controlled_nl,count_divisors,divisors,0.06423448574494262,0.06954930563087769,0.11307146199152318
C1,procedural_prose,controlled_nl,count_equal_neighbors,adjacent_analysis,0.17773007688518805,0.20581306355326917,0.2390958884828086
C1,procedural_prose,controlled_nl,count_even,parity_count,0.08390298720728517,0.10335178599108197,0.09468564192768297
C1,procedural_prose,controlled_nl,count_even_digits,digit_count,0.13528505757221687,0.14483037459852138,0.23214648014126124
C1,procedural_prose,controlled_nl,count_increases,adjacent_analysis,0.20987982835683422,0.23133724534626288,0.2558216836766581
C1,procedural_prose,controlled_nl,count_odd,parity_count,0.05120494809598386,0.06411926403120133,0.07274633179312295
C1,procedural_prose,controlled_nl,count_primes_up_to,primality,0.08754833643354903,0.09520806557559253,0.1357165416780881
C1,procedural_prose,controlled_nl,count_unique_words,word_count,0.01900369215023956,0.0656481604609821,0.05628245197044124
C1,procedural_prose,controlled_nl,count_vowels,char_count,0.026404791053586396,0.03278704755114231,0.10594120581656469
C1,procedural_prose,controlled_nl,count_words,word_count,0.13657924892284323,0.19574513931729598,0.22706928781009517
C1,procedural_prose,controlled_nl,dedupe_first,deduplication,-0.08464807797883833,-0.09096786473279189,-0.024139643897752305
C1,procedural_prose,controlled_nl,dedupe_last,deduplication,0.027480883195862504,0.032460526387674715,0.12747917651696639
C1,procedural_prose,controlled_nl,digit_product,digit_aggregate,0.13894380463944733,0.14343840190790497,0.1385956757434946
