trajectory_id,program_id,task_id,family,variant,condition,task_text,reference_text,boundary_crossed,reference_start_token_index,token_count,analysis_token_count,trajectory_valid,mean_entropy_top20,median_entropy_top20,mean_entropy_valid_vocab,median_entropy_valid_vocab,semantic_step_balanced_entropy_top20,mean_p1,median_p1,mean_top20_mass,mean_reference_surprisal,median_reference_rank,fraction_p1_ge_090,fraction_p1_ge_099,step_mapped_token_fraction,boundary_overlap_token_fraction,unmapped_token_fraction
integer_to_binary__v1__nl_exp7_anchor,integer_to_binary__v1,integer_to_binary,base_conversion,1,nl_exp7_anchor,"Given a positive integer, return its binary representation as a string without a prefix.","Start with an empty digit list. Repeatedly append the remainder after division by two and divide the number by two. Reverse the collected digits, join them, and return the string.",False,20,37,36,True,0.6166466684169589,0.5593518018722534,0.6346438650810645,0.5760351419448853,,0.7930606628457705,0.8481392562389374,0.9980113622215059,2.244107612590344,1.0,0.3888888888888889,0.16666666666666666,,,
gcd_two__v2__nl_exp7_anchor,gcd_two__v2,gcd_two,gcd_family,2,nl_exp7_anchor,"Given two nonnegative integers, compute their greatest common divisor using the Euclidean algorithm.","While the second value is not zero, replace the pair with the second value and the remainder of the first divided by the second. Output the first value when the second becomes zero.",False,21,36,35,True,0.269919811057168,0.06943433731794357,0.2793916776479299,0.0695536881685257,,0.9098158410617283,0.9873399138450623,0.99882105078016,1.8344146580735112,1.0,0.7428571428571429,0.4857142857142857,,,
keep_letters__v3__nl_exp7_anchor,keep_letters__v3,keep_letters,string_filter,3,nl_exp7_anchor,"Given a string, return a new string containing only alphabetic characters.","Initialize with an empty result string. Process each character. If it is alphabetic, append it to the result. Produce the result.",False,18,27,26,True,0.4640305541319182,0.4423569142818451,0.4696135336942881,0.4509446620941162,,0.8250405582097861,0.8752535283565521,0.9995167370025928,2.4192672557529966,1.0,0.46153846153846156,0.19230769230769232,,,
running_product__v1__python_opaque,running_product__v1,running_product,cumulative_scan,1,python_opaque,"Given a list of numbers, produce the running product after each position.","def zav0(mip0):
    tuk0 = 1
    qel0 = []
    for vor0 in mip0:
        tuk0 *= vor0
        qel0.append(tuk0)
    return qel0",False,18,52,51,True,0.3208821900247706,0.01446088869124651,0.3903577286057275,0.014507961459457874,0.5044369646241389,0.8970380074837628,0.9980350732803345,0.9902697404225668,2.2038271852235587,1.0,0.7843137254901961,0.6274509803921569,1.0,0.0,0.0
remove_digits__v3__procedural_prose,remove_digits__v3,remove_digits,string_filter,3,procedural_prose,"Given a string, return a new string with all decimal digits removed.","Define a procedure named remove_digits that receives x.
Set entry to ''.
For each element in x, do the following.
    If not element.isdigit(), do the following.
        Increase entry by element.
Return entry.",False,18,44,43,True,0.5370615152967011,0.3380441665649414,0.5524344007527933,0.3477078974246979,0.6038262384023428,0.7995569636655409,0.9273345470428467,0.9985562077788419,3.7828486581511664,1.0,0.5116279069767442,0.11627906976744186,1.0,0.0,0.0
partition_by_threshold__v3__nl_exp7_anchor,partition_by_threshold__v3,partition_by_threshold,partition,3,nl_exp7_anchor,"Given a list of numbers and a threshold, return two lists: values below the threshold and values at least the threshold, preserving order.",Initialize two empty result lists. Process each number and append it to the below-threshold list or the other list according to the comparison. Produce both lists.,False,31,31,30,True,0.5591391424890996,0.5825262069702148,0.5768558668709981,0.5896322429180145,,0.8164883156617483,0.806125283241272,0.9983626087506612,3.0602563390840563,1.0,0.36666666666666664,0.2,,,
rotate_left_one__v1__python_opaque,rotate_left_one__v1,rotate_left_one,rotation,1,python_opaque,"Given a non-empty list, rotate it left by one position.","def zav0(mip0):
    tuk0 = []
    for qel0 in mip0[1:]:
        tuk0.append(qel0)
    tuk0.append(mip0[0])
    return tuk0",False,17,50,49,True,0.29358694063820917,0.009241312742233276,0.33283374271608474,0.010992459021508694,0.3822359498062991,0.9049325828649559,0.9989229440689087,0.995214755437812,2.4039874745264287,1.0,0.7551020408163265,0.6530612244897959,1.0,0.0,0.0
binary_search_exact__v2__controlled_nl,binary_search_exact__v2,binary_search_exact,binary_search,2,controlled_nl,"Given an ascending sorted list and a target value, return the target index or minus one if absent.","PROCEDURE binary_search_exact INPUT counter, output:
SET value TO 0.
SET item TO (len(counter) - 1).
WHILE value <= item:
    SET current TO ((value + item) // 2).
    IF counter[current] = output:
        RETURN current
    IF counter[current] < output:
        SET value TO (current + 1).
    ELSE
        SET item TO (current - 1).
RETURN -1",False,24,92,91,True,0.3133062915352599,0.05578053742647171,0.3606965985318811,0.056555770337581635,0.2848860726861791,0.9030596761258094,0.990158200263977,0.9940055851097945,2.143459821090601,1.0,0.7692307692307693,0.5054945054945055,0.98,0.0,0.02
least_frequent__v3__controlled_nl,least_frequent__v3,least_frequent,mode_selection,3,controlled_nl,"Given a non-empty list, return a value with the lowest occurrence count, choosing the first such value on ties.","PROCEDURE least_frequent INPUT result:
SET entry TO {}.
FOR EACH x IN result:
    SET entry[x] TO (entry.get(x, 0) + 1).
SET element TO result[0].
FOR EACH x IN result:
    IF entry[x] < entry[element]:
        SET element TO x.
RETURN element",False,27,67,66,True,0.40619151340356574,0.0824032761156559,0.46019982234721474,0.08760320395231247,0.4652160962632793,0.8773312379013408,0.9871269464492798,0.992877873507413,2.284438024055038,1.0,0.696969696969697,0.45454545454545453,1.0,0.0,0.0
moving_average_three__v3__python_canonical,moving_average_three__v3,moving_average_three,sliding_window,3,python_canonical,"Given a list of numbers, return the average of every consecutive window of three values.","def moving_average_three(result):
    x = []
    for entry in range(len(result) - 2):
        element = (result[entry] + result[entry + 1] + result[entry + 2]) / 3
        x.append(element)
    return x",False,21,58,57,True,0.18156542922718855,0.010130236856639385,0.1856580210293399,0.010134170763194561,0.4132993808158235,0.9317075552647573,0.9988880157470703,0.999617103944745,1.3274346784842272,1.0,0.8245614035087719,0.6842105263157895,1.0,0.0,0.0
