model_slug,model,contrast,left_condition,right_condition,mean_delta,ci99_low,ci99_high,positive_tasks,total_tasks,result_status,valid_vocab_mean_delta,semantic_step_balanced_mean_delta,equivalence_margin,equivalent
qwen3,Qwen3-4B,C1,procedural_prose,controlled_nl,0.09990061957899049,0.07971753027779331,0.12024107510183044,92,100,ROBUST,0.11544608918589723,0.1447261412035817,,
qwen3,Qwen3-4B,C2,controlled_nl,pseudocode,0.07181430674630923,0.05421875341391318,0.08936924652653103,82,100,ROBUST,0.07841837455449657,0.07186634534259712,,
qwen3,Qwen3-4B,C3,pseudocode,python_canonical,0.18349265655130417,0.161552859829882,0.206681952578357,100,100,ROBUST,0.1997429704315196,0.06533459402138908,,
qwen3,Qwen3-4B,C4,python_opaque,python_canonical,0.08987777245897391,0.07444008601916265,0.10592240056272353,95,100,ROBUST,0.13656922560123333,0.08712492116710736,0.0360463677,False
phi3,Phi-3 mini,C1,procedural_prose,controlled_nl,0.04250730268617867,0.022025769656473505,0.06234100307761403,74,100,ROBUST,0.02761033165714855,0.11545367985841011,,
phi3,Phi-3 mini,C2,controlled_nl,pseudocode,0.041732827656329324,0.026986159925196176,0.055823279356892845,77,100,ROBUST,0.0634000954770741,0.017187302024051557,,
phi3,Phi-3 mini,C3,pseudocode,python_canonical,0.2758162811968684,0.2579544784354979,0.2938046592330299,100,100,ROBUST,0.33708459091242865,0.12523735965756402,,
phi3,Phi-3 mini,C4,python_opaque,python_canonical,0.20918723533125355,0.18518357973075544,0.2341306148757882,100,100,ROBUST,0.43712466848266196,0.2023838569512577,0.0659223095,False
mistral,Mistral 7B,C1,procedural_prose,controlled_nl,-0.005782633279139039,-0.03196684833444105,0.019920315499778192,49,100,NOT SUPPORTED,-0.10087143896025266,0.04144572176022582,,
mistral,Mistral 7B,C2,controlled_nl,pseudocode,0.09683701669778846,0.07979852152984387,0.1139272649002406,96,100,ROBUST,0.14504444147120676,0.06908565182603293,,
mistral,Mistral 7B,C3,pseudocode,python_canonical,0.3730460942439051,0.3481567331511945,0.3988507898808376,100,100,ROBUST,0.5359992998569678,0.2447634280744742,,
mistral,Mistral 7B,C4,python_opaque,python_canonical,0.16440740962827083,0.14296304196608725,0.18652942234370812,100,100,ROBUST,0.39056881055680537,0.13682664908527117,0.0635291352,False
