experiment,model_slug,model,contrast,positive_families,total_families,mean_family_delta,min_family_delta,max_family_delta
6,qwen3,Qwen3-4B,NL-Python,50,50,0.3604636771174562,0.1491379914005997,0.64473210953011
7,phi3,Phi-3 mini,NL-Python,50,50,0.6592230949553717,0.2094730202930411,1.0050464610185341
7,mistral,Mistral 7B,NL-Python,50,50,0.6352913522776019,0.2556801167011138,1.0183758639002831
8,qwen3,Qwen3-4B,C1,45,50,0.09990061957899049,,
8,qwen3,Qwen3-4B,C2,41,50,0.07181430674630924,,
8,qwen3,Qwen3-4B,C3,50,50,0.18349265655130412,,
8,qwen3,Qwen3-4B,C4,49,50,0.0898777724589739,,
8,phi3,Phi-3 mini,C1,39,50,0.04250730268617867,,
8,phi3,Phi-3 mini,C2,41,50,0.041732827656329324,,
8,phi3,Phi-3 mini,C3,50,50,0.2758162811968684,,
8,phi3,Phi-3 mini,C4,50,50,0.20918723533125358,,
8,mistral,Mistral 7B,C1,25,50,-0.005782633279139039,,
8,mistral,Mistral 7B,C2,49,50,0.09683701669778849,,
8,mistral,Mistral 7B,C3,50,50,0.3730460942439052,,
8,mistral,Mistral 7B,C4,50,50,0.16440740962827083,,
